follower_count,likes,comments,shares,saves,hashtag_count,post_type,hour_of_day,day_of_week,account_age_days,reach,reach_tier
1000,19,1,0,1,22,video,13,0,1547,2572,0
38364,1403,76,23,129,6,image,3,5,225,27130,2
4485,294,20,12,10,30,reel,18,2,2509,9861,1
7256,164,11,2,13,29,image,4,3,1402,4210,1
1217,70,4,2,3,2,reel,21,5,249,2413,0
4438,247,6,11,28,26,reel,23,5,241,6917,1
84126,3325,161,44,267,13,image,13,2,442,57464,2
23127,873,42,11,74,26,reel,9,6,1007,27015,2
183168,6085,409,294,315,21,reel,11,3,415,105948,2
67463,2402,132,39,163,9,reel,18,1,499,77821,2
17860,248,17,5,19,0,image,8,6,1389,9006,1
187040,3938,304,111,405,9,video,1,2,141,86606,2
17857,270,14,2,22,13,image,14,6,644,14361,2
35967,791,53,13,31,16,reel,17,6,1443,17817,2
4751,191,10,8,13,24,image,3,0,58,3398,0
9134,151,8,4,8,25,reel,8,4,793,7115,1
2309,70,3,1,5,9,reel,11,6,3213,3936,0
48110,2194,170,81,158,6,reel,14,1,1479,28875,2
1000,37,2,0,1,20,reel,12,3,2751,3878,0
33131,948,61,26,46,23,reel,18,6,1658,55565,2
5749,359,14,17,32,18,reel,15,5,2088,9507,1
66718,2911,143,119,229,19,video,17,2,497,44146,2
31305,2231,160,71,77,21,image,1,2,2652,18025,2
214735,5361,408,166,449,12,reel,22,0,1013,125705,2
30193,504,40,22,37,7,image,10,6,1124,20485,2
1000,53,3,1,2,24,reel,10,6,970,4127,1
7183,211,13,4,6,5,image,18,5,2585,3938,0
1000,10,0,0,0,1,image,9,2,2401,422,0
3187,139,9,2,13,0,image,18,3,1912,1336,0
123033,9727,396,470,408,12,reel,19,2,1238,117091,2
25528,577,41,20,66,14,image,13,2,351,12144,1
2302,93,1,2,7,16,video,13,0,3043,3831,0
1306,39,2,0,3,5,image,20,1,2436,1292,0
8595,789,38,36,93,13,image,17,4,2111,6035,1
1000,9,0,0,0,20,video,18,1,3627,2908,0
2421,166,9,6,13,8,image,16,1,334,2153,0
14208,762,46,33,46,17,video,19,3,957,17155,2
64832,2755,184,127,103,8,reel,18,5,3291,40920,2
24240,887,55,22,89,25,reel,19,2,46,32005,2
1000,75,3,3,2,13,reel,9,5,1173,2433,0
14014,841,20,19,90,24,image,17,4,2748,11241,1
9224,390,27,18,39,10,video,12,2,2087,4782,1
17068,512,40,5,44,11,video,20,4,1039,14147,2
148624,10247,683,336,852,23,reel,11,3,1284,133697,2
1000,40,0,1,4,9,reel,2,1,1497,2028,0
2796,163,10,7,5,22,video,19,2,944,6362,1
23473,465,16,8,44,2,reel,12,1,58,8808,1
1000,136,10,1,6,26,reel,0,3,2248,4386,1
115463,5910,140,259,188,23,video,19,0,263,106942,2
15725,532,13,12,30,17,image,1,0,2609,9514,1
37192,481,14,11,28,15,reel,2,2,2597,29558,2
2899,67,4,0,3,11,video,17,3,3458,3127,0
35058,2351,138,110,220,10,video,3,3,3521,35518,2
55450,965,61,34,77,9,image,6,0,3447,22873,2
12322,234,9,8,26,21,image,9,0,2168,6021,1
12356,803,58,36,79,6,reel,23,0,357,13554,2
13182,700,32,30,73,8,image,13,0,3080,10303,1
1712,51,1,1,5,12,image,23,5,3312,2117,0
6213,420,27,6,43,14,video,17,1,775,6155,1
6157,180,9,6,7,8,image,6,5,1339,4669,1
16157,753,41,27,35,13,video,13,3,274,12081,1
49005,2003,86,23,132,25,image,8,6,1210,34982,2
1205,37,2,1,2,8,image,5,6,1286,1155,0
6470,133,2,3,14,5,reel,12,4,3169,8319,1
116613,3498,173,94,269,24,video,20,6,783,132811,2
2125,87,3,2,9,8,reel,18,2,555,4271,1
1844,135,8,6,8,21,image,6,2,2262,2380,0
11662,380,13,6,42,29,reel,6,0,2623,14074,2
37045,4877,165,120,177,16,image,20,3,3492,51495,2
8271,409,16,12,28,16,image,15,4,2883,7433,1
88621,3599,175,178,399,21,image,11,3,867,26360,2
37881,1167,38,32,82,3,image,19,1,2535,12130,1
36874,2001,122,51,191,2,reel,0,2,3295,35802,2
21969,441,17,20,27,5,video,18,1,3038,10501,1
534868,7112,322,259,744,13,video,11,5,1975,175625,2
5601,167,8,2,14,26,video,11,0,1097,5816,1
1000,58,2,0,5,18,image,15,2,399,1589,0
145460,5930,368,212,464,26,reel,5,2,1273,158546,2
3555,79,4,2,6,12,video,21,2,1970,3201,0
9839,656,42,6,50,24,image,2,2,3537,6265,1
85578,1037,53,28,84,22,image,13,6,1721,51495,2
1000,59,2,2,5,3,image,11,3,2612,839,0
1000,38,1,1,1,16,video,23,2,2742,2783,0
1000,80,3,2,7,19,video,15,2,1709,2744,0
1940,154,11,2,9,11,reel,9,3,2740,3723,0
17878,225,6,5,7,23,reel,10,2,3161,13893,2
20817,205,6,10,18,12,image,5,6,2351,16330,2
13323,378,22,13,32,22,image,1,0,2597,6862,1
1000,33,1,0,3,22,reel,10,2,2448,3580,0
1000,19,1,0,2,6,video,0,3,3637,924,0
8935,229,4,3,16,2,image,15,6,2229,6238,1
3466,122,8,3,14,27,video,21,2,472,5200,1
18525,1454,92,27,119,25,image,2,1,887,15107,2
28667,567,37,25,35,29,video,23,2,1045,24692,2
10392,231,9,9,21,1,reel,2,4,3381,5867,1
31832,433,16,12,20,21,video,11,6,34,12078,1
12241,528,11,13,61,4,image,14,0,796,6265,1
21038,1407,94,62,98,15,image,15,4,2553,12580,2
2279,105,3,1,3,25,reel,9,3,2185,5186,1
5864,129,4,1,11,7,video,1,2,87,1916,0
11547,190,6,8,7,11,video,18,1,2831,10533,1
35488,1479,106,65,56,15,image,11,4,148,25976,2
3988,116,4,2,3,14,reel,6,4,333,5634,1
20704,62,2,1,6,0,image,10,0,3009,6675,1
5021,385,24,14,12,11,reel,10,4,1660,7838,1
6557,473,34,7,37,26,image,14,3,2024,8201,1
36067,3014,203,105,223,2,image,12,2,138,39131,2
1000,50,2,1,5,10,image,14,3,617,1306,0
1000,47,0,1,5,18,image,22,6,849,2629,0
1000,34,1,0,3,11,reel,22,3,1297,2349,0
1000,46,1,1,3,21,image,0,6,2333,2507,0
2390,54,2,2,3,8,reel,15,0,1432,1822,0
31225,794,33,30,82,5,reel,5,5,3337,33338,2
4852,332,16,8,13,28,image,1,5,806,6074,1
11568,559,24,27,22,23,video,2,5,1131,8965,1
57560,3121,198,87,352,9,reel,15,2,353,51947,2
88418,213,4,3,6,3,video,23,0,3053,63263,2
7154,176,14,3,11,13,image,18,0,2224,5354,1
92637,2949,208,70,140,24,reel,3,2,1930,34634,2
9564,986,39,16,37,19,video,5,0,2995,9478,1
1794,76,3,3,8,21,reel,19,1,2785,6007,1
2779,37,2,0,1,16,video,14,0,1499,3633,0
1000,43,3,1,2,28,image,12,2,2963,2831,0
1638,58,2,2,3,3,image,4,6,985,1136,0
4253,106,2,1,7,25,reel,18,0,2332,5982,1
34422,1145,90,37,113,29,reel,20,2,1625,21446,2
179402,2860,169,135,255,26,image,7,2,1560,80614,2
1000,21,1,0,1,8,image,23,3,2323,1079,0
16433,959,34,23,72,29,image,11,3,2144,13303,2
1245,22,1,0,0,29,image,0,6,3432,3018,0
19042,92,4,3,6,26,image,23,1,2532,5157,1
6399,123,5,3,13,9,image,4,2,1519,3496,0
1000,56,3,2,5,24,image,2,0,3148,2706,0
43085,2377,100,89,85,26,image,10,0,3541,21100,2
2727,98,4,3,10,6,reel,14,4,2015,3733,0
3099,83,4,3,8,8,image,15,2,968,2058,0
1181,21,1,0,2,23,video,22,1,3193,2608,0
2495,79,6,3,8,25,image,11,3,2365,2692,0
17504,961,51,37,113,19,video,3,3,1437,11744,1
5763,198,7,7,6,16,reel,10,3,1533,4612,1
14641,1254,46,44,80,29,image,20,5,2779,17679,2
15544,509,26,7,59,10,reel,0,4,2366,14889,2
87307,6465,175,275,515,22,image,6,2,2237,72349,2
4372,218,12,7,19,29,image,16,1,2907,5571,1
1000,16,0,0,1,8,image,4,0,310,1245,0
55326,603,24,27,29,2,image,11,4,1291,16797,2
4461,59,1,1,6,5,image,3,5,1848,3404,0
60250,602,29,29,37,20,video,3,4,985,27807,2
16156,788,17,11,63,8,image,17,5,2795,15008,2
6399,231,13,2,11,22,reel,18,4,981,11621,1
15180,159,5,3,18,14,image,0,4,2464,5187,1
271528,7246,538,135,385,26,image,12,6,1630,115999,2
340634,18848,972,605,2115,20,image,10,3,2070,119627,2
9180,391,26,8,21,18,video,8,6,47,9008,1
10811,528,37,19,60,6,reel,16,5,2900,11124,1
56231,2361,171,112,148,10,reel,15,3,943,79207,2
1768,186,13,7,20,7,video,3,2,3300,2354,0
14757,88,2,2,7,1,reel,23,1,3512,8296,1
7734,236,9,11,9,9,image,5,2,549,3661,0
14257,642,40,26,36,29,reel,13,3,197,13145,2
1807,117,6,4,11,25,image,3,4,954,3441,0
1000,49,2,0,4,7,image,14,5,1144,1081,0
1000,37,2,1,2,11,image,0,1,3610,1383,0
1084,74,1,0,3,22,video,6,1,340,3099,0
3548,142,4,2,14,2,image,10,4,905,2337,0
4780,67,3,0,5,22,image,2,0,701,2999,0
264875,6930,398,264,633,16,image,11,6,3025,113253,2
59325,1957,135,21,143,22,image,13,1,2532,40633,2
1434,72,4,2,4,0,video,22,3,1956,575,0
15151,1167,37,41,75,28,reel,8,0,3048,13641,2
3894,225,5,4,7,20,reel,17,0,1423,6050,1
4856,175,7,4,20,5,video,6,6,943,3821,0
11311,340,14,15,21,26,video,23,4,2663,9874,1
24698,327,21,15,24,0,video,23,6,3263,21761,2
4399,98,5,4,6,5,reel,18,6,2757,5313,1
54991,987,71,39,61,24,reel,5,6,73,75101,2
1037,19,0,0,1,26,reel,23,1,1015,4135,1
8196,166,6,2,14,3,image,9,5,3643,1930,0
869620,14255,716,421,1467,21,reel,5,4,69,299690,2
12107,648,21,30,23,25,video,9,1,1735,14612,2
106914,997,23,18,108,3,image,4,1,2848,72684,2
9554,255,12,4,29,2,video,8,2,3176,7690,1
23049,794,35,32,94,7,image,9,5,2526,5598,1
7315,105,2,3,4,6,image,23,3,3245,1968,0
5962,69,4,1,5,7,video,11,1,465,5773,1
1992,189,11,8,21,24,video,17,4,1074,3694,0
17580,611,14,20,60,6,reel,19,4,163,26829,2
1749,36,2,1,1,16,reel,22,4,2937,3335,0
26850,2542,63,62,275,10,image,12,4,2422,26628,2
57154,4524,230,125,477,9,image,14,2,3298,36152,2
15673,560,32,7,56,28,image,22,2,2206,15982,2
4840,133,6,3,8,9,reel,16,2,2256,5121,1
18345,440,28,7,38,6,image,6,6,2793,11805,1
4648,298,12,3,28,7,image,14,3,1577,3243,0
43651,2110,69,42,138,28,video,13,6,3191,25216,2
1000,38,1,1,3,25,image,14,2,3623,2406,0
4428,439,17,8,23,17,video,15,2,2434,6828,1
1000,17,0,0,0,17,reel,10,2,1319,2505,0
1000,19,0,0,2,16,reel,3,2,2331,3148,0
94367,2657,85,42,160,18,image,8,2,3430,25422,2
40592,990,47,13,34,20,image,18,4,1915,26072,2
2219,26,1,1,2,1,image,23,6,2781,901,0
1000,22,1,0,2,24,image,15,1,2080,2435,0
1000,31,2,1,3,23,image,18,2,1634,2474,0
3046,90,5,1,5,29,image,4,2,3556,4491,1
632064,48953,3603,1393,4126,13,video,18,1,1334,690869,2
17726,781,41,10,24,0,image,9,0,198,6925,1
2959,26,1,0,0,11,image,16,0,2910,2766,0
